City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,16.97,47,0,5.15,US,1741573650
1,fortuna,40.5982,-124.1573,12.51,63,0,6.17,US,1741573651
2,tiksi,71.6872,128.8694,-25.12,96,98,2.73,RU,1741573652
3,stanley,54.868,-1.6985,-1.99,100,83,2.06,GB,1741573546
4,port-aux-francais,-49.35,70.2167,7.43,91,100,12.58,TF,1741573654
5,port lincoln,-34.7333,135.8667,28.38,51,0,4.43,AU,1741573655
6,diego de almagro,-26.3667,-70.05,19.17,50,0,0.89,CL,1741573656
7,adamstown,-25.066,-130.1015,24.75,63,7,8.25,PN,1741573657
8,waitangi,-43.9535,-176.5597,13.97,71,3,2.73,NZ,1741573659
9,arteche,12.2645,125.4048,26.78,90,92,4.81,PH,1741573660
10,lazaro cardenas,17.9583,-102.2,25.89,70,98,2.05,MX,1741573662
11,puerto natales,-51.7236,-72.4875,6.13,95,100,3.55,CL,1741573663
12,chonchi,-42.6128,-73.8092,13.4,89,97,1.6,CL,1741573664
13,saint-philippe,-21.3585,55.7679,26.06,81,81,4.08,RE,1741573665
14,faya-largeau,17.9257,19.1043,26.23,19,6,6.18,TD,1741573666
15,shira,54.4911,89.9531,-4.84,93,100,2.04,RU,1741573667
16,mozhaysk,55.5019,36.0272,1.42,75,88,2.11,RU,1741573668
17,new norfolk,-42.7826,147.0587,31.28,26,27,4.07,AU,1741573669
18,west fargo,46.875,-96.9004,7.23,50,0,3.6,US,1741573523
19,anadyr,64.75,177.4833,-14.72,77,75,5.0,RU,1741573671
20,kolokani,13.5728,-8.0339,31.04,23,99,3.29,ML,1741573672
21,hasaki,35.7333,140.8333,9.51,41,0,3.86,JP,1741573673
22,axim,4.8699,-2.2405,26.64,89,58,2.44,GH,1741573444
23,memmingen,47.9837,10.1853,4.54,81,100,0.51,DE,1741573427
24,remire-montjoly,4.9167,-52.2667,25.02,94,75,0.51,GF,1741573676
25,zhoushan,30.0108,122.2047,10.21,96,97,1.12,CN,1741573678
26,flying fish cove,-10.4217,105.6791,26.82,94,97,2.06,CX,1741573679
27,bethel,41.3712,-73.414,4.39,52,4,0.89,US,1741573571
28,port elizabeth,-33.918,25.5701,20.17,86,0,10.29,ZA,1741573461
29,lihue,21.9789,-159.3672,22.77,83,100,8.75,US,1741573682
30,grytviken,-54.2811,-36.5092,-1.84,72,7,4.99,GS,1741573683
31,whitehorse,60.7161,-135.0538,-0.5,50,40,3.09,CA,1741573585
32,georgetown,5.4112,100.3354,30.96,58,20,4.63,MY,1741573685
33,avarua,-21.2078,-159.775,30.03,79,40,4.12,CK,1741573686
34,labrador city,52.9463,-66.9114,-19.05,71,0,5.14,CA,1741573687
35,aasiaat,68.7098,-52.8699,0.24,64,100,9.66,GL,1741573688
36,ilulissat,69.2167,-51.1,2.01,55,75,7.2,GL,1741573689
37,qaqortoq,60.7167,-46.0333,1.84,73,100,7.13,GL,1741573690
38,gaspe,48.8334,-64.4819,-7.88,67,0,3.09,CA,1741573690
39,albany,42.6001,-73.9662,0.19,69,17,1.7,US,1741573693
40,kamina,-8.7386,24.9906,17.56,93,100,1.37,CD,1741573694
41,kertih,4.5141,103.4483,30.01,74,40,3.09,MY,1741573695
42,yardimli,38.9206,48.2372,5.36,81,97,1.05,AZ,1741573696
43,ushuaia,-54.8,-68.3,8.81,76,75,6.17,AR,1741573486
44,tofol,5.3248,163.0078,29.88,74,75,5.14,FM,1741573698
45,tolanaro,-25.0319,46.9987,25.59,86,79,5.85,MG,1741573699
46,benalla,-36.55,145.9833,30.44,43,4,1.54,AU,1741573700
47,princeville,45.7668,-61.2985,-4.27,72,0,4.63,CA,1741573701
48,egilsstadir,65.2653,-14.3948,1.95,64,75,3.6,IS,1741573702
49,yellowknife,62.456,-114.3525,-23.71,64,20,1.54,CA,1741573511
50,bilibino,68.0546,166.4372,-23.68,87,77,0.67,RU,1741573704
51,shahba,32.8551,36.629,9.02,70,100,2.56,SY,1741573705
52,qamdo,31.1667,97.2333,-2.85,50,3,3.29,CN,1741573706
53,papatowai,-46.5619,169.4708,17.65,65,67,3.25,NZ,1741573707
54,sitka,57.0531,-135.33,3.94,87,100,0.0,US,1741573708
55,el gouna,27.3942,33.6782,18.53,36,0,5.52,EG,1741573709
56,yarmouth,41.7057,-70.2286,3.03,76,0,2.24,US,1741573429
57,vorgashor,67.5833,63.95,-28.37,100,96,1.54,RU,1741573712
58,whitby,54.4877,-0.615,3.97,93,9,1.5,GB,1741573713
59,taltal,-25.4,-70.4833,19.45,83,12,1.58,CL,1741573220
60,tura,25.5198,90.2201,24.82,26,0,0.57,IN,1741573715
61,klaksvik,62.2266,-6.589,2.45,64,46,11.53,FO,1741573716
62,hawaiian paradise park,19.5933,-154.9731,25.73,70,40,4.12,US,1741573717
63,yakutsk,62.0339,129.7331,-22.02,71,40,3.0,RU,1741573719
64,punta arenas,-53.15,-70.9167,9.06,66,75,7.2,CL,1741573640
65,pundong,-7.9522,110.3486,27.73,77,100,1.29,ID,1741573721
66,duba,27.3513,35.6901,20.4,61,0,2.25,SA,1741573722
67,weno,7.4515,151.8468,30.97,66,75,5.14,FM,1741573723
68,moree,-29.4667,149.85,22.33,85,100,7.73,AU,1741573724
69,kalemie,-5.9475,29.1947,21.6,82,100,1.5,CD,1741573725
70,north bend,43.4065,-124.2243,12.37,62,0,2.57,US,1741573707
71,iskateley,67.6803,53.1512,-17.27,97,100,2.12,RU,1741573727
72,port alfred,-33.5906,26.891,19.54,85,100,0.89,ZA,1741573728
73,jamestown,42.097,-79.2353,4.8,65,20,3.6,US,1741573569
74,orchard homes,46.8633,-114.0484,8.25,45,100,1.34,US,1741573731
75,kodiak,57.79,-152.4072,3.73,70,100,5.14,US,1741573732
76,raduzhny,62.0961,77.475,-22.34,98,81,2.57,RU,1741573502
77,masterton,-40.9597,175.6575,23.16,37,4,3.27,NZ,1741573734
78,puerto ayora,-0.7393,-90.3518,25.31,100,87,0.45,EC,1741573735
79,constantia,44.1833,28.65,4.38,87,99,0.62,RO,1741573616
80,san antonio de pale,-1.4014,5.6325,27.62,84,80,4.48,GQ,1741573737
81,college,64.8569,-147.8028,0.99,43,75,4.12,US,1741573738
82,tomatlan,19.9333,-105.25,19.07,63,0,1.02,MX,1741573739
83,mount gambier,-37.8333,140.7667,34.79,25,0,1.4,AU,1741573740
84,lappeenranta,61.0587,28.1887,0.03,69,100,2.06,FI,1741573742
85,dryden,49.7833,-92.7503,0.16,55,100,4.12,CA,1741573743
86,talnakh,69.4865,88.3972,-31.32,83,51,1.39,RU,1741573744
87,uturoa,-16.7333,-151.4333,27.93,77,100,6.99,PF,1741573745
88,rio grande,-32.035,-52.0986,19.75,58,32,4.72,BR,1741573746
89,blackmans bay,-43.0167,147.3167,28.07,48,42,5.39,AU,1741573749
90,centerville,39.6284,-84.1594,8.27,57,0,0.45,US,1741573750
91,aldinga beach,-35.2793,138.4604,38.38,37,7,3.78,AU,1741573751
92,kingston,17.997,-76.7936,26.53,78,20,0.51,JM,1741573752
93,codrington,-38.2667,141.9667,32.06,37,0,0.99,AU,1741573754
94,vilyuchinsk,52.9306,158.4028,-3.85,59,44,8.16,RU,1741573755
95,sretensk,52.2453,117.7093,-4.96,84,100,1.92,RU,1741573756
96,badger,64.8,-147.5333,0.95,51,0,4.12,US,1741573757
97,utrik,11.2278,169.8474,26.98,73,49,9.37,MH,1741573758
98,kupang,-10.1667,123.5833,31.32,70,40,2.06,ID,1741573676
99,mahalapye,-23.1041,26.8142,19.18,61,0,0.81,BW,1741573761
100,lagunas,-5.2269,-75.6753,22.43,100,100,1.08,PE,1741573762
101,gudur,14.1333,79.85,23.86,78,65,1.85,IN,1741573763
102,panama city beach,30.1766,-85.8055,18.01,100,100,5.66,US,1741573402
103,arraial do cabo,-22.9661,-42.0278,25.39,88,0,8.9,BR,1741573765
104,iqaluit,63.7506,-68.5145,-8.15,73,100,3.09,CA,1741573766
105,sweetwater,25.7634,-80.3731,24.44,88,0,3.6,US,1741573769
106,miranda,3.2499,-76.2281,18.92,93,10,2.19,CO,1741573770
107,alofi,-19.0595,-169.9187,27.94,89,75,5.14,NU,1741573773
108,cambria,35.5641,-121.0808,12.81,73,0,0.43,US,1741573774
109,carnarvon,-24.8667,113.6333,25.93,61,0,7.25,AU,1741573775
110,liman,48.9884,37.8023,4.44,65,100,1.57,UA,1741573776
111,luderitz,-26.6481,15.1594,18.35,66,1,7.44,NA,1741573777
112,richards bay,-28.783,32.0377,23.74,88,16,3.3,ZA,1741573778
113,ingeniero jacobacci,-41.3427,-69.5448,17.68,34,67,8.88,AR,1741573779
114,puerto san jose,13.9256,-90.8244,28.22,68,70,5.77,GT,1741573781
115,port mathurin,-19.6833,63.4167,27.15,69,6,3.56,MU,1741573782
116,saint-affrique,43.9558,2.8892,7.91,94,99,1.92,FR,1741573783
117,edinburgh of the seven seas,-37.0676,-12.3116,18.24,86,10,8.32,SH,1741573784
118,palikir - national government center,6.9248,158.1611,31.41,74,40,6.17,FM,1741573785
119,hithadhoo,-0.6,73.0833,27.94,71,8,6.21,MV,1741573786
120,meadow lake,34.8014,-106.5436,8.69,36,0,0.8,US,1741573529
121,longyearbyen,78.2186,15.6401,-13.09,85,20,5.14,SJ,1741573788
122,soe,-9.8607,124.284,26.3,67,81,1.57,ID,1741573789
123,kroonstad,-27.6504,27.2349,16.12,81,0,2.26,ZA,1741573790
124,manakara,-22.1333,48.0167,23.53,91,42,0.82,MG,1741573791
125,ribeira grande,38.5167,-28.7,15.43,94,100,4.02,PT,1741573792
126,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,36,75,8.0,RU,1741573794
127,port saint john's,-31.6229,29.5448,24.14,94,83,7.59,ZA,1741573796
128,kapuskasing,49.4169,-82.4331,-5.95,100,100,1.03,CA,1741573797
129,tazacorte,28.629,-17.9293,16.54,83,20,2.57,ES,1741573799
130,nguigmi,14.2495,13.1092,26.14,25,90,4.2,NE,1741573800
131,dambatta,12.433,8.5154,23.68,22,100,2.25,NG,1741573801
132,changling,44.2653,124.0005,10.23,48,0,11.88,CN,1741573803
133,asenovgrad,42.0167,24.8667,3.71,45,2,0.0,BG,1741573805
134,stephenville,32.2207,-98.2023,10.07,62,0,1.54,US,1741573806
135,chinoz,40.9364,68.7697,6.85,67,100,2.33,UZ,1741573807
136,kalmunai,7.4167,81.8167,25.67,82,96,4.9,LK,1741573808
137,millerovo,48.9226,40.3967,2.22,69,100,2.33,RU,1741573809
